
Features number: 1 
kNN_1M: 0.898960 
kNN_1E: 0.898960 
kNN_5M: 0.925038 
kNN_5E: 0.925038 
kNN_10M: 0.925038 
kNN_10E: 0.925038
 
Features number: 2 
kNN_1M: 0.931472 
kNN_1E: 0.931472 
kNN_5M: 0.960184 
kNN_5E: 0.960477 
kNN_10M: 0.959894 
kNN_10E: 0.960185 

Features number: 3 
kNN_1M: 0.942608 
kNN_1E: 0.942901 
kNN_5M: 0.961939 
kNN_5E: 0.963403 
kNN_10M: 0.958424 
kNN_10E: 0.959302 

Features number: 4 
kNN_1M: 0.954617 
kNN_1E: 0.951102 
kNN_5M: 0.963404 
kNN_5E: 0.964869 
kNN_10M: 0.958714 
kNN_10E: 0.960182 

Features number: 5 
kNN_1M: 0.959301 
kNN_1E: 0.955198 
kNN_5M: 0.966331 
kNN_5E: 0.965454 
kNN_10M: 0.961644 
kNN_10E: 0.960768 

Features number: 6 
kNN_1M: 0.954907 
kNN_1E: 0.951976 
kNN_5M: 0.965156 
kNN_5E: 0.962517 
kNN_10M: 0.960764 
kNN_10E: 0.958717 

Features number: 7 
kNN_1M: 0.954613 
kNN_1E: 0.952562 
kNN_5M: 0.962226 
kNN_5E: 0.960176 
kNN_10M: 0.959887 
kNN_10E: 0.957549 

Features number: 8 
kNN_1M: 0.964275 
kNN_1E: 0.959587 
kNN_5M: 0.968379 
kNN_5E: 0.966620 
kNN_10M: 0.962233 
kNN_10E: 0.966038 

Features number: 9 
kNN_1M: 0.964569 
kNN_1E: 0.958709 
kNN_5M: 0.967502 
kNN_5E: 0.967498 
kNN_10M: 0.962232 
kNN_10E: 0.963990 
